index,period,attendances
236,2017-03-01,8808
237,2017-03-01,5611
238,2017-03-01,8174
239,2017-03-01,7390
240,2017-03-01,10697
241,2017-03-01,1997
242,2017-03-01,4685
243,2017-03-01,6515
244,2017-03-01,4146
245,2017-03-01,8420
246,2017-03-01,7121
247,2017-03-01,1823
248,2017-03-01,6890
249,2017-03-01,3827
250,2017-03-01,4696
251,2017-03-01,8068
252,2017-03-01,2629
253,2017-03-01,452
254,2017-03-01,7741
255,2017-03-01,9036
256,2017-03-01,6659
257,2017-03-01,8355
258,2017-03-01,1581
259,2017-03-01,3368
260,2017-03-01,3175
261,2017-03-01,5523
262,2017-03-01,3280
263,2017-03-01,12686
264,2017-03-01,1177
265,2017-03-01,4636
266,2017-03-01,7101
267,2017-03-01,1318
268,2017-03-01,3611
269,2017-03-01,2315
270,2017-03-01,1194
271,2017-03-01,8522
272,2017-03-01,8866
273,2017-03-01,1823
274,2017-03-01,3607
275,2017-03-01,4019
276,2017-03-01,12737
277,2017-03-01,5216
278,2017-03-01,9442
279,2017-03-01,782
280,2017-03-01,20403
281,2017-03-01,5799
282,2017-03-01,11503
283,2017-03-01,6515
284,2017-03-01,5725
285,2017-03-01,9087
286,2017-03-01,1206
287,2017-03-01,751
288,2017-03-01,3477
289,2017-03-01,1523
290,2017-03-01,6501
291,2017-03-01,3682
292,2017-03-01,11963
293,2017-03-01,1996
294,2017-03-01,10452
295,2017-03-01,7222
296,2017-03-01,3521
297,2017-03-01,3911
298,2017-03-01,179
299,2017-03-01,2955
300,2017-03-01,11198
301,2017-03-01,1797
302,2017-03-01,711
303,2017-03-01,8345
304,2017-03-01,250
305,2017-03-01,5584
306,2017-03-01,1363
307,2017-03-01,9418
308,2017-03-01,897
309,2017-03-01,2036
310,2017-03-01,910
311,2017-03-01,9380
312,2017-03-01,1495
313,2017-03-01,6059
314,2017-03-01,1521
315,2017-03-01,8240
316,2017-03-01,712
317,2017-03-01,5854
318,2017-03-01,6218
319,2017-03-01,941
320,2017-03-01,3807
321,2017-03-01,325
322,2017-03-01,1357
323,2017-03-01,7026
324,2017-03-01,1293
325,2017-03-01,3970
326,2017-03-01,2296
327,2017-03-01,4816
328,2017-03-01,8344
329,2017-03-01,8981
330,2017-03-01,5394
331,2017-03-01,203
332,2017-03-01,6326
333,2017-03-01,1517
334,2017-03-01,5933
335,2017-03-01,2804
336,2017-03-01,8622
337,2017-03-01,1564
338,2017-03-01,9307
